	region
14954x24695	0.0
14642x24874	0.0
14955x25053	0.0
14643x25233	0.0
14955x25412	0.0
15570x6393	1.0
15258x6572	1.0
15570x6752	1.0
15258x6931	1.0
15571x7110	1.0
15259x7290	1.0
15571x7469	1.0
15259x7649	1.0
15571x7828	1.0
15259x8008	1.0
15571x8187	1.0
15259x8367	1.0
15571x8546	1.0
15259x8725	1.0
15571x8905	1.0
15259x9084	1.0
15572x9264	0.0
15260x9443	0.0
15572x9622	0.0
15260x9802	0.0
15572x9981	0.0
15260x10161	0.0
15572x10340	0.0
15260x10520	0.0
15572x10699	0.0
15260x10879	0.0
15572x11058	0.0
15260x11237	0.0
15573x11417	0.0
15261x11596	0.0
15573x11776	0.0
15261x11955	0.0
15573x12134	0.0
15261x12314	0.0
15573x12493	0.0
15261x12673	0.0
15573x12852	0.0
15261x13032	0.0
15574x13211	0.0
15261x13391	0.0
15574x13570	0.0
15262x13749	0.0
15574x13929	0.0
15262x14108	0.0
15574x14288	0.0
15262x14467	0.0
15574x14646	0.0
15262x14826	0.0
15574x15005	0.0
15262x15185	0.0
15575x15364	0.0
15262x15544	0.0
15575x15723	0.0
15263x15903	0.0
15575x16082	0.0
15263x16261	0.0
15575x16441	0.0
15263x16620	0.0
15575x16800	0.0
15263x16979	0.0
15575x17158	0.0
15263x17338	0.0
15576x17517	0.0
15263x17697	0.0
15576x17876	0.0
15264x18056	0.0
15576x18235	0.0
15264x18414	0.0
15576x18594	0.0
15264x18773	0.0
15576x18953	0.0
15264x19132	0.0
15576x19311	0.0
15264x19491	0.0
15577x19670	0.0
15264x19850	0.0
15577x20029	0.0
15265x20209	0.0
15577x20388	0.0
15265x20568	0.0
15577x20747	0.0
15265x20926	0.0
15577x21106	0.0
15265x21285	0.0
15577x21465	0.0
15265x21644	0.0
15578x21823	0.0
15265x22003	0.0
15578x22182	0.0
15266x22362	0.0
15578x22541	0.0
15266x22721	0.0
15578x22900	0.0
15266x23080	0.0
15578x23259	0.0
15266x23438	0.0
15578x23618	0.0
15266x23797	0.0
15579x23977	0.0
15266x24156	0.0
15579x24335	0.0
15267x24515	0.0
15579x24694	0.0
